Time, CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:06:29.400, true,
2018-08-24 14:06:29.499, true,
2018-08-24 14:06:29.598, true,
2018-08-24 14:06:29.697, true,
2018-08-24 14:06:29.796, true,
2018-08-24 14:06:29.895, true,
2018-08-24 14:06:29.994, true,
2018-08-24 14:06:30.093, true,
2018-08-24 14:06:30.192, true,
2018-08-24 14:06:30.291, true,
2018-08-24 14:06:30.391, true,
2018-08-24 14:06:30.490, true,
2018-08-24 14:06:30.589, true,
2018-08-24 14:06:30.688, true,
2018-08-24 14:06:30.787, true,
2018-08-24 14:06:30.886, true,
2018-08-24 14:06:30.985, true,
2018-08-24 14:06:31.084, true,
2018-08-24 14:06:31.183, true,
2018-08-24 14:06:31.282, true,
2018-08-24 14:06:31.381, true,
2018-08-24 14:06:31.481, true,
2018-08-24 14:06:31.580, true,
2018-08-24 14:06:31.679, true,
2018-08-24 14:06:31.778, true,
2018-08-24 14:06:31.877, true,
2018-08-24 14:06:31.976, true,
2018-08-24 14:06:32.075, true,
2018-08-24 14:06:32.174, true,
2018-08-24 14:06:32.273, true,
2018-08-24 14:06:32.372, true,
2018-08-24 14:06:32.472, true,
2018-08-24 14:06:32.571, true,
2018-08-24 14:06:32.670, true,
2018-08-24 14:06:32.769, true,
2018-08-24 14:06:32.868, true,
2018-08-24 14:06:32.967, true,
2018-08-24 14:06:33.066, true,
2018-08-24 14:06:33.165, true,
2018-08-24 14:06:33.264, true,
2018-08-24 14:06:33.363, true,
2018-08-24 14:06:33.462, true,
2018-08-24 14:06:33.562, true,
2018-08-24 14:06:33.661, true,
2018-08-24 14:06:33.760, true,
2018-08-24 14:06:33.859, true,
2018-08-24 14:06:33.958, false,
2018-08-24 14:06:34.057, false,
2018-08-24 14:06:34.156, false,
2018-08-24 14:06:34.255, false,
2018-08-24 14:06:34.354, false,
2018-08-24 14:06:34.453, false,
2018-08-24 14:06:34.552, false,
2018-08-24 14:06:34.652, false,
2018-08-24 14:06:34.751, false,
2018-08-24 14:06:34.850, false,
2018-08-24 14:06:34.949, false,
2018-08-24 14:06:35.048, false,
2018-08-24 14:06:35.147, false,
2018-08-24 14:06:35.246, false,
2018-08-24 14:06:35.345, false,
2018-08-24 14:06:35.444, false,
2018-08-24 14:06:35.543, false,
2018-08-24 14:06:35.642, false,
2018-08-24 14:06:35.742, false,
2018-08-24 14:06:35.841, false,
2018-08-24 14:06:35.940, false,
2018-08-24 14:06:36.039, false,
2018-08-24 14:06:36.138, false,
2018-08-24 14:06:36.237, false,
2018-08-24 14:06:36.336, false,
2018-08-24 14:06:36.435, false,
2018-08-24 14:06:36.534, false,
2018-08-24 14:06:36.633, false,
2018-08-24 14:06:36.732, false,
2018-08-24 14:06:36.831, false,
2018-08-24 14:06:36.930, false,
2018-08-24 14:06:37.030, false,
2018-08-24 14:06:37.129, false,
2018-08-24 14:06:37.228, false,
2018-08-24 14:06:37.327, false,
2018-08-24 14:06:37.427, false,
2018-08-24 14:06:37.526, false,
2018-08-24 14:06:37.625, false,
2018-08-24 14:06:37.724, false,
2018-08-24 14:06:37.824, false,
2018-08-24 14:06:37.923, false,
2018-08-24 14:06:38.022, false,
2018-08-24 14:06:38.121, false,
2018-08-24 14:06:38.220, false,
2018-08-24 14:06:38.319, false,
2018-08-24 14:06:38.418, false,
2018-08-24 14:06:38.517, false,
2018-08-24 14:06:38.617, false,
2018-08-24 14:06:38.716, false,
2018-08-24 14:06:38.815, false,
2018-08-24 14:06:38.914, false,
2018-08-24 14:06:39.013, false,
2018-08-24 14:06:39.112, false,
2018-08-24 14:06:39.211, false,
2018-08-24 14:06:39.311, false,
2018-08-24 14:06:39.410, false,
2018-08-24 14:06:39.509, false,
2018-08-24 14:06:39.608, false,
2018-08-24 14:06:39.707, true,
2018-08-24 14:06:39.806, true,
2018-08-24 14:06:39.905, true,
2018-08-24 14:06:40.004, true,
2018-08-24 14:06:40.104, true,
2018-08-24 14:06:40.204, true,
2018-08-24 14:06:40.303, true,
2018-08-24 14:06:40.402, true,
2018-08-24 14:06:40.501, true,
2018-08-24 14:06:40.600, true,
2018-08-24 14:06:40.699, true,
2018-08-24 14:06:40.798, true,
2018-08-24 14:06:40.897, true,
2018-08-24 14:06:40.996, true,
