Time, CONVEYOR2_PROXIMITY_SENSOR2,CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:06:22.161, false,false,
2018-08-24 14:06:22.260, false,false,
2018-08-24 14:06:22.359, false,false,
2018-08-24 14:06:22.458, false,false,
2018-08-24 14:06:22.557, false,false,
2018-08-24 14:06:22.656, false,false,
2018-08-24 14:06:22.755, false,false,
2018-08-24 14:06:22.855, false,false,
2018-08-24 14:06:22.954, false,false,
2018-08-24 14:06:23.053, false,false,
2018-08-24 14:06:23.152, false,false,
2018-08-24 14:06:23.251, false,false,
2018-08-24 14:06:23.350, false,false,
2018-08-24 14:06:23.449, false,false,
2018-08-24 14:06:23.548, false,false,
2018-08-24 14:06:23.648, false,false,
2018-08-24 14:06:23.747, false,false,
2018-08-24 14:06:23.846, false,false,
2018-08-24 14:06:23.945, false,false,
2018-08-24 14:06:24.044, false,false,
2018-08-24 14:06:24.143, false,false,
2018-08-24 14:06:24.242, false,false,
2018-08-24 14:06:24.342, false,false,
2018-08-24 14:06:24.441, false,false,
2018-08-24 14:06:24.540, false,false,
2018-08-24 14:06:24.639, false,false,
2018-08-24 14:06:24.738, false,false,
2018-08-24 14:06:24.837, false,false,
2018-08-24 14:06:24.936, false,false,
2018-08-24 14:06:25.036, false,false,
2018-08-24 14:06:25.135, false,false,
2018-08-24 14:06:25.234, false,false,
2018-08-24 14:06:25.333, false,false,
2018-08-24 14:06:25.432, false,false,
2018-08-24 14:06:25.531, false,false,
2018-08-24 14:06:25.630, false,false,
2018-08-24 14:06:25.729, false,false,
2018-08-24 14:06:25.828, false,false,
2018-08-24 14:06:25.928, false,false,
2018-08-24 14:06:26.027, false,false,
2018-08-24 14:06:26.126, false,false,
2018-08-24 14:06:26.225, false,false,
2018-08-24 14:06:26.324, false,false,
2018-08-24 14:06:26.423, false,false,
2018-08-24 14:06:26.522, false,false,
2018-08-24 14:06:26.622, false,false,
2018-08-24 14:06:26.721, false,false,
2018-08-24 14:06:26.820, false,false,
2018-08-24 14:06:26.919, false,false,
2018-08-24 14:06:27.018, false,false,
2018-08-24 14:06:27.118, false,false,
2018-08-24 14:06:27.217, false,false,
2018-08-24 14:06:27.316, false,false,
2018-08-24 14:06:27.415, false,false,
2018-08-24 14:06:27.514, false,false,
2018-08-24 14:06:27.613, false,false,
2018-08-24 14:06:27.712, false,false,
2018-08-24 14:06:27.811, false,false,
2018-08-24 14:06:27.910, false,false,
2018-08-24 14:06:28.010, false,false,
2018-08-24 14:06:28.109, false,false,
2018-08-24 14:06:28.208, false,false,
2018-08-24 14:06:28.307, false,false,
2018-08-24 14:06:28.406, false,false,
2018-08-24 14:06:28.505, false,false,
2018-08-24 14:06:28.604, false,false,
2018-08-24 14:06:28.703, false,false,
2018-08-24 14:06:28.803, false,false,
2018-08-24 14:06:28.902, false,false,
2018-08-24 14:06:29.001, false,false,
2018-08-24 14:06:29.100, false,false,
2018-08-24 14:06:29.199, false,false,
2018-08-24 14:06:29.298, false,false,
2018-08-24 14:06:29.397, false,false,
2018-08-24 14:06:29.496, false,false,
2018-08-24 14:06:29.596, false,false,
2018-08-24 14:06:29.695, false,false,
2018-08-24 14:06:29.794, false,false,
2018-08-24 14:06:29.893, false,false,
2018-08-24 14:06:29.992, false,false,
2018-08-24 14:06:30.091, false,false,
2018-08-24 14:06:30.190, false,false,
2018-08-24 14:06:30.289, false,false,
2018-08-24 14:06:30.389, false,false,
2018-08-24 14:06:30.488, false,false,
2018-08-24 14:06:30.587, false,false,
2018-08-24 14:06:30.686, false,false,
2018-08-24 14:06:30.785, false,false,
2018-08-24 14:06:30.884, false,false,
2018-08-24 14:06:30.983, false,false,
2018-08-24 14:06:31.083, false,false,
2018-08-24 14:06:31.182, false,false,
2018-08-24 14:06:31.281, false,false,
2018-08-24 14:06:31.380, false,false,
2018-08-24 14:06:31.479, false,false,
2018-08-24 14:06:31.578, false,false,
